severity,method,precision,recall,f1
easy,classical,0.049785612196165355,0.11011591148519434,0.06856954951731317
easy,cnn,0.8661616161572416,0.9035827186464511,0.8844765292937029
easy,ensemble,0.25371506475766364,0.9805057955691228,0.40311924291511547
moderate,classical,0.11166253101709266,0.27239709442934384,0.1583949272374114
moderate,cnn,0.7811534500474709,0.9182808716651436,0.8441847473929097
moderate,ensemble,0.2040559264388411,0.980629539945638,0.33781670030697664
hard,classical,0.2526535583778447,0.6402116402088175,0.3623206447246721
hard,cnn,0.9030892932674436,0.9409171075796257,0.9216151968983616
hard,ensemble,0.25541516245458545,0.9982363315652636,0.4067552967906372
easy,classical,0.1087669948424343,0.22502424830043627,0.1466498059722388
easy,cnn,0.878906249991417,0.8729388942689338,0.8759124037506576
easy,ensemble,0.17303019784766915,0.9670223084290299,0.293537462461903
moderate,classical,0.14732218280102438,0.44410491469201907,0.22124959981094722
moderate,cnn,0.9354510800484487,0.9373567608837857,0.9364029459007013
moderate,ensemble,0.25475285171085665,0.9724980901426725,0.4037424642010395
hard,classical,0.27987918883914864,0.5265863888505932,0.3654974833766616
hard,cnn,0.9847007649602749,0.888242457041147,0.9339877599856135
hard,ensemble,0.4026148925422801,0.970775267215572,0.5691734053427991
easy,classical,0.12100737100662773,0.22669735327702303,0.1577893426773692
easy,cnn,0.9120095124742924,0.8826237053983588,0.8970760183826614
easy,ensemble,0.15137698340297032,0.955120828527559,0.2613350102318143
moderate,classical,0.1588625187082342,0.25349709996501707,0.1953207102996304
moderate,cnn,0.9105631210860856,0.8440805185914566,0.8760623179502516
moderate,ensemble,0.33417145593829717,0.9522347321700709,0.49472657596365344
hard,classical,0.24580721666907368,0.4126848691683371,0.30810064294760087
hard,cnn,0.9542927733139152,0.8788395904411865,0.9150133204425399
hard,ensemble,0.36768951138632766,0.978100113762861,0.5344626582393168
easy,classical,0.03747636238604525,0.13172205437986875,0.058351174281353294
easy,cnn,0.7527533039606127,0.8259818731067917,0.7876692545855911
easy,ensemble,0.1657540016847454,0.9510574018069423,0.28230651706635845
moderate,classical,0.3206014517796049,0.5237154150182842,0.3977272680157801
moderate,cnn,0.9086115992943509,0.8757763975130555,0.8918918868910206
moderate,ensemble,0.37595046708627416,0.9771315640853272,0.5429871312230826
hard,classical,0.4437480413649522,0.5194424064544408,0.47862091779417654
hard,cnn,0.8841796055355259,0.7729273661013466,0.8248189419756592
hard,ensemble,0.35292509568021746,0.9471753484924902,0.5142401872405605
easy,classical,0.012874850059965713,0.12828685258861924,0.023401161132908
easy,cnn,0.9138755980788368,0.9131474103512898,0.9135113540999331
easy,ensemble,0.08712391273343281,0.97370517927511,0.15993717537845806
moderate,classical,0.20212401507296293,0.4675118858916996,0.28222912757063845
moderate,cnn,0.9134860050813106,0.8534072900090856,0.8824252305577479
moderate,ensemble,0.18752851710998095,0.9770206022109588,0.31466121970372973
hard,classical,0.42686329214656493,0.4736842105242208,0.44905659878521775
hard,cnn,0.8978890525238199,0.808934099952194,0.8510935268849115
hard,ensemble,0.3373970867632404,0.9425033171121517,0.4969103377277133
easy,classical,0.023412271259355726,0.07499999999935346,0.03568498406861489
easy,cnn,0.9001766784372777,0.8784482758544963,0.8891797506648897
easy,ensemble,0.15654369476763005,0.9620689655089477,0.2692725274509986
moderate,classical,0.18181818181721524,0.30158730158464214,0.2268656669472143
moderate,cnn,0.9376181474391531,0.8747795414384941,0.9051094840488473
moderate,ensemble,0.19040247677985828,0.9761904761818679,0.3186528470085327
hard,classical,0.42818751866100874,0.49160095988861297,0.45770826185920266
hard,cnn,0.9330655957120345,0.7168323620133122,0.8107793669322921
hard,ensemble,0.36412505304800663,0.8824134384611505,0.5155217262859331
easy,classical,0.03049460766081778,0.1479610249002239,0.050567338064207865
easy,cnn,0.9535462463668456,0.8296643810868652,0.8873021949435166
easy,ensemble,0.15678193872056573,0.94731143990997,0.26903761158369854
moderate,classical,0.24371941272351152,0.4241908006790222,0.30957314082584597
moderate,cnn,0.9067357512901167,0.8943781942027577,0.9005145747549496
moderate,ensemble,0.25863596102707614,0.99488926745602,0.4105448121896453
hard,classical,0.311101766189814,0.5559062218206253,0.3989430497553973
hard,cnn,0.9896019496328358,0.9153892395537792,0.9510500379446623
hard,ensemble,0.4157496342469208,0.9822663059798884,0.5842234595076815
easy,classical,0.035104625550612466,0.17299864314672322,0.05836575595007673
easy,cnn,0.9793814432912025,0.837856173671385,0.903107856084051
easy,ensemble,0.14534351145023375,0.96879240162165,0.2527657292114992
moderate,classical,0.1851640513549427,0.3628739166889492,0.24520638071466097
moderate,cnn,0.922310756969487,0.9060665362009895,0.9141164806838975
moderate,ensemble,0.3400559683486055,0.9851831143388728,0.505595405079414
hard,classical,0.5446540880493358,0.5337207254788982,0.5391319765008002
hard,cnn,0.9372224465059806,0.8175735164627266,0.8733189078401864
hard,ensemble,0.5569084171513425,0.9262194048231621,0.6955831743622661
easy,classical,0.025496266618055916,0.15167930660724074,0.04365450330458293
easy,cnn,0.9741480610931358,0.8981581798385898,0.9346110434757152
easy,ensemble,0.1112607099141845,0.9848320693284417,0.1999340133520086
moderate,classical,0.23832528180162382,0.3080124869895108,0.2687244617153146
moderate,cnn,0.906315789464144,0.8959417273580027,0.9010988960896361
moderate,ensemble,0.23765354725435536,0.9864724245474873,0.38303029989974496
hard,classical,0.409845132741096,0.4949899799566133,0.4484114927722715
hard,cnn,0.8675496688669906,0.7000668002625247,0.7748613628886823
hard,ensemble,0.22559433485040364,0.8937875751443302,0.36025847820230816
easy,classical,0.024740889334649997,0.19270833333207874,0.043851849835139074
easy,cnn,0.8118279569843977,0.8847656249942398,0.8467289669665823
easy,ensemble,0.10633727175072943,0.9667968749937058,0.1916005401148458
moderate,classical,0.29398786541603145,0.5572399372698452,0.38490701840584524
moderate,cnn,0.9297877914568253,0.9276006272845594,0.92869291662521
moderate,ensemble,0.3703413103174084,0.9869315211683561,0.5385822239586536
hard,classical,0.5212702216880729,0.6090304515204444,0.5617433364326873
hard,cnn,0.9427655677612511,0.7206860342991925,0.8169014035365815
hard,ensemble,0.37633661991337825,0.9485474273680485,0.5388745236707082
easy,classical,0.03180212014128657,0.17357762777074662,0.05375541025390779
easy,cnn,0.7879310344759661,0.8813886210136801,0.8320436909571189
easy,ensemble,0.11928994082826118,0.972034715516181,0.21250131564486002
moderate,classical,0.3371819038634845,0.33048498845189267,0.33379985504171183
moderate,cnn,0.9325295617877752,0.9288683602749911,0.9306953554051318
moderate,ensemble,0.49825459622934803,0.9889145496512959,0.6626431400805346
hard,classical,0.42393800229499445,0.5380692167557812,0.47423341937452007
hard,cnn,0.9820436083754509,0.8367941712173523,0.9036191925106296
hard,ensemble,0.37661783530027504,0.964663023675903,0.541734856843752
easy,classical,0.03258704485695754,0.17782608695574859,0.05508046334408455
easy,cnn,0.9136986301328142,0.8699999999962175,0.8913140261794318
easy,ensemble,0.1439800864665636,0.9556521739088885,0.2502561744288964
moderate,classical,0.417653390741835,0.47432762836069847,0.44419003508785726
moderate,cnn,0.8559782608676269,0.9242053789708455,0.8887843824964373
moderate,ensemble,0.45513922310020033,0.9711491442519044,0.6198018213537171
hard,classical,0.5164785553035746,0.5769036812895186,0.5450214337943442
hard,cnn,0.9385593220310576,0.7818961169924814,0.8530949056305838
hard,ensemble,0.45984866975779853,0.9500756429628087,0.6197368377087112
easy,classical,0.03644646924801483,0.07855973813292046,0.04979252679026419
easy,cnn,0.7612403100657172,0.8036006546513322,0.781847128749176
easy,ensemble,0.10350908129059512,0.9607201309171731,0.1868831564732258
moderate,classical,0.12798264641943619,0.15567282321694362,0.1404761855221657
moderate,cnn,0.9999999997297297,0.048812664907007745,0.0930817601164511
moderate,ensemble,0.07312485304473754,0.41029023746160564,0.12412691820609234
hard,classical,0.4708910188135057,0.4875941922431766,0.47909706046340717
hard,cnn,0.8959651035967373,0.7550082705371164,0.8194693746478185
hard,ensemble,0.4990521799855342,0.9193163021486505,0.6469218785214252
easy,classical,0.042933442892270066,0.15978593272049094,0.06768134381136823
easy,cnn,0.8762962962898053,0.9044342507576114,0.8901429596296146
easy,ensemble,0.15754339118805977,0.9923547400535754,0.2719178775970094
moderate,classical,0.1275811209438352,0.39896223695474503,0.19333658918955537
moderate,cnn,0.9194183580705259,0.8748918996803837,0.8966026537892043
moderate,ensemble,0.25268538410233893,0.9832804842865861,0.40205091612424926
hard,classical,0.35501626219575927,0.4750585872096583,0.4063573834195569
hard,cnn,0.8762668918881915,0.6946769333756455,0.7749766523935128
hard,ensemble,0.3207843137250709,0.8215600937367876,0.4614082877715989
easy,classical,0.08111455108308908,0.1904069767414185,0.11376465060720718
easy,cnn,0.8947368420921822,0.8895348837080009,0.8921282748704198
easy,ensemble,0.13463098134603685,0.9651162790557396,0.236298930234835
moderate,classical,0.2284223203523548,0.3107591480048566,0.26330402102930767
moderate,cnn,0.9433497536887725,0.8367012561396139,0.8868306751864758
moderate,ensemble,0.28277805403566586,0.93173129436957,0.43387588655870724
hard,classical,0.3771410775453486,0.7611565053401598,0.5043731734105723
hard,cnn,0.9371279761869898,0.7916404776845015,0.8582623459694553
hard,ensemble,0.32721073471147466,0.93494657447852,0.4847645390947365
easy,classical,0.03642231443044527,0.11205673758706303,0.054975639999189106
easy,cnn,0.8790560471846747,0.8453900709099944,0.8618944273827894
easy,ensemble,0.13046905794219457,0.9390070921852623,0.22910537941088857
moderate,classical,0.3108767818779323,0.4984345648074564,0.3829224246121769
moderate,cnn,0.894770206019351,0.8838447088262873,0.8892738963991831
moderate,ensemble,0.3489029631301188,0.9658735128335446,0.5126287764258574
hard,classical,0.379923318228024,0.3986832479868373,0.38907727503007
hard,cnn,0.9904534606157974,0.7589612289657682,0.8593911733817752
hard,ensemble,0.41361003860937323,0.940380395022164,0.5745251354203212
easy,classical,0.01561483409236237,0.07007299270021845,0.02553870412244947
easy,cnn,0.8162962962902497,0.8043795620379243,0.8102941126413712
easy,ensemble,0.14121455682056125,0.9233576642268368,0.2449651409982268
moderate,classical,0.21528623629654298,0.3672727272708194,0.2714532493227779
moderate,cnn,0.8688133571802695,0.7568831168791851,0.8089949977954456
moderate,ensemble,0.249223946784554,0.8758441558396061,0.38803221749375383
hard,classical,0.454574690463974,0.47480685253531274,0.46447054457853904
hard,cnn,0.9551451187312182,0.6687940880069385,0.7867232985224756
hard,ensemble,0.512239433925691,0.8997312730922074,0.6528150087805985
easy,classical,0.07857047249353692,0.24407484407382923,0.11887403438749682
easy,cnn,0.8280279503073447,0.8869022868985992,0.8564545222058269
easy,ensemble,0.21532412910284782,0.9792099792059077,0.35302053369534864
moderate,classical,0.21459982409756115,0.21795444394721772,0.21626412085797309
moderate,cnn,0.9747596153787575,0.724430549349154,0.8311555164980604
moderate,ensemble,0.33649909939358685,0.9178204555564189,0.4924514698326602
hard,classical,0.2575305696387451,0.4634997316144297,0.3310966211742432
hard,cnn,0.8813209494293729,0.6876006441205379,0.7725011257839853
hard,ensemble,0.33412816691472014,0.9025764895305889,0.4877093717354634
easy,classical,0.03269230769223784,0.0984555984549649,0.04908565554484843
easy,cnn,0.7549407114581879,0.860360360354824,0.8042105213322487
easy,ensemble,0.1807540660421627,0.9440154440093693,0.30341261364101224
moderate,classical,0.13187010884219494,0.398477847240015,0.19816166157823586
moderate,cnn,0.9746420047703621,0.8880130470212341,0.9293130372496737
moderate,ensemble,0.24747440038468319,0.9787985865697777,0.39506307960840886
hard,classical,0.27058116576506946,0.5389876880975736,0.3602903310352738
hard,cnn,0.9688262910779928,0.8821819425429511,0.923476232367219
hard,ensemble,0.3745564463133299,0.9746922024607136,0.541156361696464
easy,classical,0.05529953917027525,0.24672897195800506,0.09034907298333218
